"Task","X","Y"
1,-0.901051282417029,-1.48050803306664
1,-0.876463019754738,-1.5003512499631
1,-0.800009768456221,-1.37166862977954
1,-0.667588529642671,-0.726803221785308
1,-0.648680770304054,-0.631234818670444
1,-0.624608700163662,-0.519297113483804
1,-0.482538651209325,-0.198361755802191
1,-0.42263570567593,-0.228201253839205
1,-0.313553832471371,-0.397618988390265
1,-0.289876563940197,-0.443264190931751
1,-0.251092735212296,-0.524023709151234
1,-0.217368321493268,-0.602445631727598
1,-0.0588296498171985,-1.10481275047997
1,-0.0527792382054031,-1.12590869891142
1,0.0603769337758422,-1.39664194763561
1,0.0634963060729206,-1.39847294288371
1,0.162625423632562,-1.22330251600418
1,0.241632470861077,-0.79144194827003
1,0.381011100951582,-0.0052354019178668
1,0.420501080341637,0.0822829598189232
1,0.49744282104075,0.00799754790308205
1,0.540085501037538,-0.146633773181713
1,0.630341418087482,-0.566312178741644
1,0.724384103901684,-0.854045226982244
1,0.906670567579567,-0.617592176796211
2,-0.9418601882644,-1.52939334147432
2,-0.921951158903539,-1.57961164357299
2,-0.892907811328769,-1.61806260026911
2,-0.797260608989745,-1.43917939915728
2,-0.789916879497468,-1.40788504640808
2,-0.783440232276917,-1.37860631510386
2,-0.769898214843124,-1.31272905676335
2,-0.625524617731571,-0.472165525016175
2,-0.38021655054763,-0.143277327970619
2,-0.315009430982172,-0.270114397976656
2,-0.245449273847044,-0.440752371415407
2,-0.204830429516733,-0.559811147647762
2,-0.147516431752592,-0.758953146654401
2,-0.136534123215824,-0.801276260608682
2,-0.0452990108169615,-1.17719935833763
2,0.000593487173318863,-1.3457941815826
2,0.0186856342479587,-1.399102192167
2,0.0766716268844903,-1.49008843707092
2,0.336707825306803,-0.213937714635495
2,0.388157289009541,0.0546817648839539
2,0.598593228496611,-0.235128947369619
2,0.843219355214387,-0.818187811682263
2,0.877588904462755,-0.759556552383429
2,0.902699032332748,-0.704285278747159
2,0.972183759789914,-0.526741783255455
3,-0.998075159732252,-1.25093859696145
3,-0.9424495738931,-1.53731173165287
3,-0.935185976792127,-1.56522675739484
3,-0.832000528927892,-1.65593404945129
3,-0.750660890247673,-1.34264157782809
3,-0.62494746921584,-0.606851672091465
3,-0.602694695349783,-0.495930284045227
3,-0.557466638274491,-0.316544502444809
3,-0.495759330689907,-0.182495471115406
3,-0.438859365880489,-0.161193923971411
3,-0.348711679223925,-0.258470875810394
3,-0.266992731485516,-0.422372529898878
3,-0.187295136041939,-0.64384714102088
3,0.179767038673162,-1.08053923211819
3,0.181745939422399,-1.06952657792402
3,0.277103618718684,-0.430615767666836
3,0.320774565450847,-0.143414023591455
3,0.425353209488094,0.213128056486626
3,0.541975260712206,-0.113427368774701
3,0.62104529608041,-0.553932914908665
3,0.755232581403106,-0.983577562285073
3,0.837386047933251,-0.896162105202002
3,0.842849388252944,-0.883099920769055
3,0.910536542534828,-0.683386530140873
3,0.929783282335848,-0.621186713179328
4,-0.942005743272603,-1.61804656357432
4,-0.852567553054541,-1.72720867780602
4,-0.732055515516549,-1.25534400787922
4,-0.713888728991151,-1.1472739789907
4,-0.690112535376102,-1.00228029831543
4,-0.575340362265706,-0.402534074082775
4,-0.572360654827207,-0.391478092513091
4,-0.48204768775031,-0.191542399165936
4,-0.464679517783225,-0.180471709308568
4,-0.281387946102768,-0.354584353824883
4,-0.198329276870936,-0.550671052780298
4,-0.153330356348306,-0.697369597777704
4,0.0478741237893701,-1.42867947922185
4,0.15994759183377,-1.3145273231642
4,0.19462017994374,-1.15566497493104
4,0.251278134062886,-0.810625851966499
4,0.330256806686521,-0.300269101117828
4,0.44759490666911,0.0549532328592434
4,0.484264892525971,0.0137261031727072
4,0.514762844890356,-0.0702762733105939
4,0.643805418163538,-0.65898826327083
4,0.720956390723586,-0.922614523431904
4,0.759035131894052,-0.979200660155467
4,0.775229073129594,-0.987770122606466
4,0.957521566189826,-0.68133688615368
5,-0.92720982292667,-1.64250184862914
5,-0.874019152019173,-1.71835500506014
5,-0.807402507402003,-1.58118109760348
5,-0.760495643131435,-1.35345890967697
5,-0.623719770926982,-0.483924878533651
5,-0.620422834996134,-0.465471462118783
5,-0.554964120965451,-0.171962682309875
5,-0.543344889301807,-0.135951553351553
5,-0.493260961491615,-0.0373240011542469
5,-0.454750324133784,-0.0180687167420387
5,-0.428853954188526,-0.027705669023308
5,-0.384794400073588,-0.0756557050460321
5,-0.368394816294312,-0.101295674593545
5,-0.357577026356012,-0.12005258730561
5,-0.351190078537911,-0.131751939510736
5,-0.292587310541421,-0.257860905017766
5,-0.194754919968545,-0.545227334348196
5,0.300350360572338,-0.347579562690796
5,0.447572560515255,0.247180781708395
5,0.492566630709916,0.182271333159675
